date,address,latitude,longitude,day,month,year,mirid bug,mint,maxt,temp,dew,humidity,wspd,wdir,precip,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,bph
2015-01-01,Roi Et Rice Seed Center,16.083,103.867,1,1,2015,0,21.1,26.5,24.5,10.7,42.0,20.5,50.67,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-02,Roi Et Rice Seed Center,16.083,103.867,2,1,2015,0,21.5,26.8,24.2,11.2,44.15,16.0,53.0,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-03,Roi Et Rice Seed Center,16.083,103.867,3,1,2015,0,22.2,27.9,26.0,15.6,53.7,9.8,138.67,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-04,Roi Et Rice Seed Center,16.083,103.867,4,1,2015,0,23.1,28.9,26.0,16.7,57.71,3.7,171.0,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-05,Roi Et Rice Seed Center,16.083,103.867,5,1,2015,0,26.8,26.8,26.8,18.6,60.9,1.3,260.0,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-06,Roi Et Rice Seed Center,16.083,103.867,6,1,2015,0,21.0,34.5,29.8,17.9,51.88,5.4,78.33,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-07,Roi Et Rice Seed Center,16.083,103.867,7,1,2015,0,23.0,32.4,27.7,19.8,63.59,15.8,63.67,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-08,Roi Et Rice Seed Center,16.083,103.867,8,1,2015,0,25.3,28.0,26.9,17.9,58.08,18.3,49.67,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-09,Roi Et Rice Seed Center,16.083,103.867,9,1,2015,0,23.0,29.0,26.6,15.2,50.15,29.5,63.5,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-10,Roi Et Rice Seed Center,16.083,103.867,10,1,2015,0,23.2,23.2,23.2,15.2,60.86,17.3,56.0,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-11,Roi Et Rice Seed Center,16.083,103.867,11,1,2015,0,20.4,22.3,21.4,13.7,61.4,14.7,28.0,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-12,Roi Et Rice Seed Center,16.083,103.867,12,1,2015,0,19.4,23.3,21.4,13.4,60.95,12.9,49.0,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-13,Roi Et Rice Seed Center,16.083,103.867,13,1,2015,0,20.0,26.3,23.7,9.0,39.85,17.0,52.0,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-14,Roi Et Rice Seed Center,16.083,103.867,14,1,2015,0,19.2,26.0,23.8,7.7,36.38,16.6,45.2,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-15,Roi Et Rice Seed Center,16.083,103.867,15,1,2015,0,16.0,22.0,18.8,10.0,57.36,19.1,59.67,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-16,Roi Et Rice Seed Center,16.083,103.867,16,1,2015,0,21.2,27.1,24.7,10.2,41.29,21.8,56.33,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-17,Roi Et Rice Seed Center,16.083,103.867,17,1,2015,0,21.9,26.3,24.1,12.1,47.37,15.3,58.0,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-18,Roi Et Rice Seed Center,16.083,103.867,18,1,2015,0,23.0,27.3,25.5,13.8,48.75,19.8,72.67,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-19,Roi Et Rice Seed Center,16.083,103.867,19,1,2015,0,22.1,26.6,24.3,13.6,51.3,18.7,72.5,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-20,Roi Et Rice Seed Center,16.083,103.867,20,1,2015,0,22.2,22.2,22.2,13.2,56.79,14.1,53.0,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-21,Roi Et Rice Seed Center,16.083,103.867,21,1,2015,0,16.0,30.5,24.9,14.8,57.61,5.6,14.75,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-22,Roi Et Rice Seed Center,16.083,103.867,22,1,2015,0,23.9,28.6,26.3,12.7,43.42,13.4,70.5,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-23,Roi Et Rice Seed Center,16.083,103.867,23,1,2015,0,18.0,18.0,18.0,13.0,72.58,7.6,40.0,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
2015-01-24,Roi Et Rice Seed Center,16.083,103.867,24,1,2015,0,18.0,31.3,24.9,15.4,58.91,4.0,156.0,0.0,0,0,0,0,0,0,0,0,0,493,0,0,1906,11530,239,2133,7822,52514,1194,3036,0
